timestamp,scenario,model_label,model_path,runtime,execution,temperature,n_predict,ctx,prompt_id,task_type,repeat,prompt,expected,reference_for_bertscore,output,exact_match,accuracy,keyword_overlap_discursive,wall_time_seconds,load_time_ms,prompt_eval_time_ms,prompt_tokens,prompt_tokens_per_second,eval_time_ms,eval_runs,generation_tokens_per_second,total_inference_latency_ms,ttft_warm_estimate_ms,ttft_cold_estimate_ms,timeout,return_code,raw_log_file,stressor,stressor_workers,stressor_log,inference_core,stress_core,isolation_strategy,bertscore_precision,bertscore_recall,bertscore_f1
2025-09-24T11:51:07.255857,stress_cpu_matrix_process_isolation,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,1,What is 27 + 35? Answer only with the number.,62,62,62,1.0,1.0,,71.5248,62237.04,6479.93,37,5.71,512.8,2,3.9,6999.92,6736.33,68973.37,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run1_20250924_114955.txt,stress-ng cpu matrixprod pinned,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_process_isolation_temp_07_20250924_114950.log,0,1,"Process isolation using taskset: inference pinned to core 0, stress-ng pinned to core 1",,,
2025-09-24T11:51:17.419228,stress_cpu_matrix_process_isolation,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,2,What is 27 + 35? Answer only with the number.,62,62,62,1.0,1.0,,10.1606,1311.45,6564.95,37,5.64,511.75,2,3.91,7084.06,6820.825,8132.275,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run2_20250924_114955.txt,stress-ng cpu matrixprod pinned,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_process_isolation_temp_07_20250924_114950.log,0,1,"Process isolation using taskset: inference pinned to core 0, stress-ng pinned to core 1",,,
2025-09-24T11:51:27.664337,stress_cpu_matrix_process_isolation,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,3,What is 27 + 35? Answer only with the number.,62,62,62,1.0,1.0,,10.2425,1345.72,6515.66,37,5.68,509.92,2,3.92,7032.8,6770.62,8116.34,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run3_20250924_114955.txt,stress-ng cpu matrixprod pinned,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_process_isolation_temp_07_20250924_114950.log,0,1,"Process isolation using taskset: inference pinned to core 0, stress-ng pinned to core 1",,,
2025-09-24T11:51:37.585889,stress_cpu_matrix_process_isolation,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,1,What is 14 * 6? Answer only with the number.,84,84,84,1.0,1.0,,9.9189,1291.19,6340.87,36,5.68,510.89,2,3.91,6862.74,6596.315,7887.505,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run1_20250924_114955.txt,stress-ng cpu matrixprod pinned,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_process_isolation_temp_07_20250924_114950.log,0,1,"Process isolation using taskset: inference pinned to core 0, stress-ng pinned to core 1",,,
2025-09-24T11:51:47.540376,stress_cpu_matrix_process_isolation,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,2,What is 14 * 6? Answer only with the number.,84,84,94,0.0,0.0,,9.9517,1276.17,6344.81,36,5.67,512.17,2,3.9,6864.14,6600.895,7877.065,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run2_20250924_114955.txt,stress-ng cpu matrixprod pinned,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_process_isolation_temp_07_20250924_114950.log,0,1,"Process isolation using taskset: inference pinned to core 0, stress-ng pinned to core 1",,,
2025-09-24T11:51:57.432646,stress_cpu_matrix_process_isolation,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,3,What is 14 * 6? Answer only with the number.,84,84,84,1.0,1.0,,9.8893,1293.3,6332.67,36,5.68,529.3,2,3.78,6869.12,6597.32,7890.62,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run3_20250924_114955.txt,stress-ng cpu matrixprod pinned,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_process_isolation_temp_07_20250924_114950.log,0,1,"Process isolation using taskset: inference pinned to core 0, stress-ng pinned to core 1",,,
2025-09-24T11:52:07.740886,stress_cpu_matrix_process_isolation,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,1,What is 125 - 58? Answer only with the number.,67,67,67,1.0,1.0,,10.3054,1302.79,6665.15,38,5.7,509.14,2,3.93,7181.66,6919.72,8222.51,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run1_20250924_114955.txt,stress-ng cpu matrixprod pinned,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_process_isolation_temp_07_20250924_114950.log,0,1,"Process isolation using taskset: inference pinned to core 0, stress-ng pinned to core 1",,,
2025-09-24T11:52:18.058478,stress_cpu_matrix_process_isolation,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,2,What is 125 - 58? Answer only with the number.,67,67,67,1.0,1.0,,10.3147,1302.38,6658.15,38,5.71,523.74,2,3.82,7189.18,6920.02,8222.4,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run2_20250924_114955.txt,stress-ng cpu matrixprod pinned,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_process_isolation_temp_07_20250924_114950.log,0,1,"Process isolation using taskset: inference pinned to core 0, stress-ng pinned to core 1",,,
2025-09-24T11:52:28.363223,stress_cpu_matrix_process_isolation,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,3,What is 125 - 58? Answer only with the number.,67,67,67,1.0,1.0,,10.3017,1290.9,6658.47,38,5.71,508.57,2,3.93,7174.44,6912.755,8203.655,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run3_20250924_114955.txt,stress-ng cpu matrixprod pinned,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_process_isolation_temp_07_20250924_114950.log,0,1,"Process isolation using taskset: inference pinned to core 0, stress-ng pinned to core 1",,,
2025-09-24T11:52:41.877312,stress_cpu_matrix_process_isolation,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,mcq_001,closed,1,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,A,0.0,0.0,,13.511,1380.49,10040.99,57,5.68,266.22,1,3.76,10314.4,10307.21,11687.7,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_mcq_001_run1_20250924_114955.txt,stress-ng cpu matrixprod pinned,1,/mnt/i1data/i1-edge-ai-slm/logs/stress_ng_cpu_matrix_process_isolation_temp_07_20250924_114950.log,0,1,"Process isolation using taskset: inference pinned to core 0, stress-ng pinned to core 1",,,
