timestamp,scenario,model_label,model_path,runtime,execution,temperature,n_predict,ctx,prompt_id,task_type,repeat,prompt,expected,reference_for_bertscore,output,exact_match,accuracy,keyword_overlap_discursive,wall_time_seconds,load_time_ms,prompt_eval_time_ms,prompt_tokens,prompt_tokens_per_second,eval_time_ms,eval_runs,generation_tokens_per_second,total_inference_latency_ms,ttft_warm_estimate_ms,ttft_cold_estimate_ms,timeout,return_code,raw_log_file,stressor,stressor_workers,stressor_log,inference_core,stress_core,isolation_strategy
2025-09-24T12:55:25.829510,stress_cpu_matrix_full_isolation,qwen05,models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,1,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,90.9966,80690.92,6381.4,37,5.8,486.75,2,4.11,6874.98,6624.775,87315.695,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run1_20250924_125354.txt,stress-ng cpu matrixprod pinned,1,/tmp/stress_ng_nonrt_full_isolation_qwen05.log,1,0,"Full kernel isolation: isolcpus=1 nohz_full=1 rcu_nocbs=1 irqaffinity=0; inference pinned to CPU1, stress-ng pinned to CPU0"
2025-09-24T12:55:35.678871,stress_cpu_matrix_full_isolation,qwen05,models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,2,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,9.8451,1258.32,6379.36,37,5.8,489.93,2,4.08,6876.08,6624.325,7882.645,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run2_20250924_125354.txt,stress-ng cpu matrixprod pinned,1,/tmp/stress_ng_nonrt_full_isolation_qwen05.log,1,0,"Full kernel isolation: isolcpus=1 nohz_full=1 rcu_nocbs=1 irqaffinity=0; inference pinned to CPU1, stress-ng pinned to CPU0"
2025-09-24T12:55:45.486502,stress_cpu_matrix_full_isolation,qwen05,models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_001,closed,3,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,9.8036,1248.24,6357.96,37,5.82,487.53,2,4.1,6852.33,6601.725,7849.965,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_001_run3_20250924_125354.txt,stress-ng cpu matrixprod pinned,1,/tmp/stress_ng_nonrt_full_isolation_qwen05.log,1,0,"Full kernel isolation: isolcpus=1 nohz_full=1 rcu_nocbs=1 irqaffinity=0; inference pinned to CPU1, stress-ng pinned to CPU0"
2025-09-24T12:55:55.269083,stress_cpu_matrix_full_isolation,qwen05,models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,1,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,9.7784,1296.54,6186.77,36,5.82,486.08,2,4.11,6689.77,6429.81,7726.35,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run1_20250924_125354.txt,stress-ng cpu matrixprod pinned,1,/tmp/stress_ng_nonrt_full_isolation_qwen05.log,1,0,"Full kernel isolation: isolcpus=1 nohz_full=1 rcu_nocbs=1 irqaffinity=0; inference pinned to CPU1, stress-ng pinned to CPU0"
2025-09-24T12:56:05.044098,stress_cpu_matrix_full_isolation,qwen05,models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,2,What is 14 * 6? Answer only with the number.,84,84,90,0,0,,9.7709,1308.79,6180.63,36,5.82,488.37,2,4.1,6675.81,6424.815,7733.605,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run2_20250924_125354.txt,stress-ng cpu matrixprod pinned,1,/tmp/stress_ng_nonrt_full_isolation_qwen05.log,1,0,"Full kernel isolation: isolcpus=1 nohz_full=1 rcu_nocbs=1 irqaffinity=0; inference pinned to CPU1, stress-ng pinned to CPU0"
2025-09-24T12:56:14.730410,stress_cpu_matrix_full_isolation,qwen05,models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_002,closed,3,What is 14 * 6? Answer only with the number.,84,84,90,0,0,,9.6821,1249.25,6221.39,36,5.79,486.36,2,4.11,6714.61,6464.57,7713.82,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_002_run3_20250924_125354.txt,stress-ng cpu matrixprod pinned,1,/tmp/stress_ng_nonrt_full_isolation_qwen05.log,1,0,"Full kernel isolation: isolcpus=1 nohz_full=1 rcu_nocbs=1 irqaffinity=0; inference pinned to CPU1, stress-ng pinned to CPU0"
2025-09-24T12:56:24.892687,stress_cpu_matrix_full_isolation,qwen05,models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,1,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,10.158,1321.38,6535.48,38,5.81,494.91,2,4.04,7037.42,6782.935,8104.315,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run1_20250924_125354.txt,stress-ng cpu matrixprod pinned,1,/tmp/stress_ng_nonrt_full_isolation_qwen05.log,1,0,"Full kernel isolation: isolcpus=1 nohz_full=1 rcu_nocbs=1 irqaffinity=0; inference pinned to CPU1, stress-ng pinned to CPU0"
2025-09-24T12:56:34.983742,stress_cpu_matrix_full_isolation,qwen05,models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,2,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,10.0867,1303.1,6514.17,38,5.83,485.05,2,4.12,7006.27,6756.695,8059.795,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run2_20250924_125354.txt,stress-ng cpu matrixprod pinned,1,/tmp/stress_ng_nonrt_full_isolation_qwen05.log,1,0,"Full kernel isolation: isolcpus=1 nohz_full=1 rcu_nocbs=1 irqaffinity=0; inference pinned to CPU1, stress-ng pinned to CPU0"
2025-09-24T12:56:45.318417,stress_cpu_matrix_full_isolation,qwen05,models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,arith_003,closed,3,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,10.3303,1371.17,6584.16,38,5.77,506.99,2,3.94,7098.11,6837.655,8208.825,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_arith_003_run3_20250924_125354.txt,stress-ng cpu matrixprod pinned,1,/tmp/stress_ng_nonrt_full_isolation_qwen05.log,1,0,"Full kernel isolation: isolcpus=1 nohz_full=1 rcu_nocbs=1 irqaffinity=0; inference pinned to CPU1, stress-ng pinned to CPU0"
2025-09-24T12:56:58.273267,stress_cpu_matrix_full_isolation,qwen05,models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,mcq_001,closed,1,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,A,0,0,,12.9504,1248.54,9758.39,57,5.84,246.36,1,4.06,10011.59,10004.75,11253.29,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_07_mcq_001_run1_20250924_125354.txt,stress-ng cpu matrixprod pinned,1,/tmp/stress_ng_nonrt_full_isolation_qwen05.log,1,0,"Full kernel isolation: isolcpus=1 nohz_full=1 rcu_nocbs=1 irqaffinity=0; inference pinned to CPU1, stress-ng pinned to CPU0"
