timestamp,scenario,model_label,model_path,runtime,execution,temperature,n_predict,ctx,prompt_id,task_type,repeat,prompt,expected,reference_for_bertscore,output,exact_match,accuracy,keyword_overlap_discursive,wall_time_seconds,load_time_ms,prompt_eval_time_ms,prompt_tokens,prompt_tokens_per_second,eval_time_ms,eval_runs,generation_tokens_per_second,total_inference_latency_ms,ttft_warm_estimate_ms,ttft_cold_estimate_ms,timeout,return_code,raw_log_file,model_label_clean,bertscore_precision,bertscore_recall,bertscore_f1,source_file,stressor,stressor_workers,stressor_log,inference_core,stress_core,isolation_strategy
2025-09-24T12:21:50.639419,stress_cpu_matrix,qwen15_stress_cpu_matrix,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,disc_001,discursive,1,What does CPU pinning mean? Answer in one short sentence.,cpu core,CPU pinning assigns a process or thread to a specific CPU core to reduce scheduling variability.,CPU pinning refers to scheduling a process to a specific CPU core.,,,1.0,34.9761,2835.57,16948.91,34.0,2.01,12473.6,14.0,1.12,29443.91,17839.8814,20675.4514,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_disc_001_run1_20250924_120019.txt,qwen25_1.5b,0.78378433,0.6425753,0.7127617,qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_20250924_120019.csv,,,,,,
2025-09-24T12:22:28.317979,stress_cpu_matrix,qwen15_stress_cpu_matrix,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,disc_001,discursive,2,What does CPU pinning mean? Answer in one short sentence.,cpu core,CPU pinning assigns a process or thread to a specific CPU core to reduce scheduling variability.,CPU pinning refers to limiting a process to run on a specific physical core or cores.,,,1.0,37.6734,2835.08,17304.42,34.0,1.96,14582.44,18.0,1.23,31923.77,18114.5556,20949.6356,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_disc_001_run2_20250924_120019.txt,qwen25_1.5b,0.48576778,0.54061145,0.5138443,qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_20250924_120019.csv,,,,,,
2025-09-24T12:23:09.032736,stress_cpu_matrix,qwen15_stress_cpu_matrix,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,disc_001,discursive,3,What does CPU pinning mean? Answer in one short sentence.,cpu core,CPU pinning assigns a process or thread to a specific CPU core to reduce scheduling variability.,"CPU pinning refers to the practice of assigning specific cores to run processes, often for performance optimization.",,,1.0,40.7094,2886.65,16932.13,34.0,2.01,17946.33,20.0,1.11,34906.19,17829.4465,20716.0965,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_disc_001_run3_20250924_120019.txt,qwen25_1.5b,0.50999606,0.5520622,0.53171074,qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_20250924_120019.csv,,,,,,
2025-09-24T12:23:44.924669,stress_cpu_matrix,qwen15_stress_cpu_matrix,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,disc_002,discursive,1,What is latency in real-time systems? Answer in one short sentence.,response time,Latency is the time delay between an input event and the corresponding system response.,Latency is the delay or time taken by a system to respond to a given input.,,,0.5,35.8864,2926.49,17526.02,35.0,2.0,12666.93,18.0,1.42,30264.93,18229.7383,21156.2283,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_disc_002_run1_20250924_120019.txt,qwen25_1.5b,0.5819688,0.6365811,0.6097765,qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_20250924_120019.csv,,,,,,
2025-09-24T12:24:23.453509,stress_cpu_matrix,qwen15_stress_cpu_matrix,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,disc_002,discursive,2,What is latency in real-time systems? Answer in one short sentence.,response time,Latency is the time delay between an input event and the corresponding system response.,Latency in real-time systems is the time delay between a command and its execution's completion.,,,0.5,38.5234,2909.25,17784.21,35.0,1.97,15342.39,19.0,1.24,33160.72,18591.7042,21500.9542,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_disc_002_run2_20250924_120019.txt,qwen25_1.5b,0.5975472,0.68123525,0.6396653,qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_20250924_120019.csv,,,,,,
2025-09-24T12:24:54.522803,stress_cpu_matrix,qwen15_stress_cpu_matrix,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,disc_002,discursive,3,What is latency in real-time systems? Answer in one short sentence.,response time,Latency is the time delay between an input event and the corresponding system response.,Latency is the delay in time between input and output.,,,0.5,31.0637,2392.93,17553.1,35.0,1.99,8600.51,12.0,1.4,26181.31,18269.8092,20662.7392,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_disc_002_run3_20250924_120019.txt,qwen25_1.5b,0.7984568,0.66019046,0.7289182,qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_20250924_120019.csv,,,,,,
2025-09-24T12:25:43.024970,stress_cpu_matrix,qwen15_stress_cpu_matrix,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,disc_003,discursive,1,Explain in two short sentences why CPU interference can increase inference latency on an embedded board.,cpu cache memory,"CPU interference can increase inference latency because the model shares cores, caches and memory bandwidth with other processes. This contention delays prompt processing and token generation.","CPU interference can increase inference latency on an embedded board because it diverts the CPU's resources away from the inference processing, requiring additional cycles to complete the task.",,,0.3333,48.4964,2724.93,19498.36,39.0,2.0,23548.95,32.0,1.36,43125.17,20234.2647,22959.1947,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_disc_003_run1_20250924_120019.txt,qwen25_1.5b,0.43199828,0.36165488,0.3975735,qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_20250924_120019.csv,,,,,,
2025-09-24T12:26:21.710691,stress_cpu_matrix,qwen15_stress_cpu_matrix,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,disc_003,discursive,2,Explain in two short sentences why CPU interference can increase inference latency on an embedded board.,cpu cache memory,"CPU interference can increase inference latency because the model shares cores, caches and memory bandwidth with other processes. This contention delays prompt processing and token generation.",CPU interference slows down the inference process on an embedded board by diverting resources from the inference task.,,,0.3333,38.6799,2402.87,19518.45,39.0,2.0,14151.63,20.0,1.41,33751.53,20226.0315,22628.9015,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_disc_003_run2_20250924_120019.txt,qwen25_1.5b,0.41246393,0.29289156,0.35305214,qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_20250924_120019.csv,,,,,,
2025-09-24T12:27:14.212980,stress_cpu_matrix,qwen15_stress_cpu_matrix,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,disc_003,discursive,3,Explain in two short sentences why CPU interference can increase inference latency on an embedded board.,cpu cache memory,"CPU interference can increase inference latency because the model shares cores, caches and memory bandwidth with other processes. This contention delays prompt processing and token generation.","CPU interference on an embedded board can increase inference latency by diverting resources meant for processing the model, thereby reducing the available computational power for the inference task.",,,0.3333,52.4966,2753.11,19392.56,39.0,2.01,27624.7,31.0,1.12,47067.43,20283.6794,23036.7894,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_disc_003_run3_20250924_120019.txt,qwen25_1.5b,0.41375545,0.3737112,0.3946419,qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_20250924_120019.csv,,,,,,
2025-09-24T12:28:12.899711,stress_cpu_matrix,qwen15_stress_cpu_matrix,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.7,192,2048,disc_004,discursive,1,Explain the difference between throughput and latency in AI inference using one short paragraph.,throughput latency,"Latency measures how long one inference takes from input to output, while throughput measures how many tokens or requests are processed per unit of time. A system can have high throughput but still be unsuitable for real-time use if individual responses arrive too late.","Throughput refers to the number of tasks an AI model can process in a given time period, while latency measures the time it takes for an AI model to generate a response to a query.",,,1.0,58.6808,2731.15,18761.16,37.0,1.97,34557.14,38.0,1.1,53375.07,19670.5584,22401.7084,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_disc_004_run1_20250924_120019.txt,qwen25_1.5b,0.36536542,0.19690067,0.28093928,qwen15_stress_cpu_matrix_baseline_cpu_final_temp_07_20250924_120019.csv,,,,,,
