timestamp,scenario,model_label,model_path,runtime,execution,temperature,n_predict,ctx,prompt_id,task_type,repeat,prompt,expected,reference_for_bertscore,output,exact_match,accuracy,keyword_overlap_discursive,wall_time_seconds,load_time_ms,prompt_eval_time_ms,prompt_tokens,prompt_tokens_per_second,eval_time_ms,eval_runs,generation_tokens_per_second,total_inference_latency_ms,ttft_warm_estimate_ms,ttft_cold_estimate_ms,timeout,return_code,raw_log_file
2025-09-24T12:08:49.283829,baseline_cpu_final_temp_05,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_001,closed,1,What is 27 + 35? Answer only with the number.,62,62,6,0,0,,180.2169,,,,,,,,,,,1,timeout,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_05_arith_001_run1_20250924_120548.txt
2025-09-24T12:10:51.984908,baseline_cpu_final_temp_05,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_001,closed,2,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,122.6346,60614.98,48614.24,37,0.76,10246.65,2,0.2,58970.04,53737.565,114352.545,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_05_arith_001_run2_20250924_120548.txt
2025-09-24T12:12:45.312763,baseline_cpu_final_temp_05,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_001,closed,3,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,113.2767,82325.13,24343.65,37,1.52,2982.99,2,0.67,27650.3,25835.145,108160.275,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_05_arith_001_run3_20250924_120548.txt
2025-09-24T12:14:03.228526,baseline_cpu_final_temp_05,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_002,closed,1,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,77.8541,40040.62,33100.32,36,1.09,1398.52,2,1.43,34633.14,33799.58,73840.2,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_05_arith_002_run1_20250924_120548.txt
2025-09-24T12:16:12.192953,baseline_cpu_final_temp_05,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_002,closed,2,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,128.9019,83310.7,38376.61,36,0.94,3911.8,2,0.51,42434.9,40332.51,123643.21,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_05_arith_002_run2_20250924_120548.txt
2025-09-24T12:18:05.943140,baseline_cpu_final_temp_05,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_002,closed,3,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,113.668,84241.22,24656.93,36,1.46,1469.48,2,1.36,26269.64,25391.67,109632.89,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_05_arith_002_run3_20250924_120548.txt
2025-09-24T12:19:34.402737,baseline_cpu_final_temp_05,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_003,closed,1,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,88.394,48736.57,34480.91,38,1.1,1662.66,2,1.2,36535.99,35312.24,84048.81,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_05_arith_003_run1_20250924_120548.txt
2025-09-24T12:20:54.356343,baseline_cpu_final_temp_05,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_003,closed,2,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,79.8928,39856.47,35587.88,38,1.07,1437.57,2,1.39,37156.76,36306.665,76163.135,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_05_arith_003_run2_20250924_120548.txt
2025-09-24T12:22:35.744014,baseline_cpu_final_temp_05,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_003,closed,3,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,101.322,69618.09,26204.54,38,1.45,2115.5,2,0.95,28459.2,27262.29,96880.38,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_05_arith_003_run3_20250924_120548.txt
2025-09-24T12:24:48.620865,baseline_cpu_final_temp_05,qwen25_3b,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-3b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,mcq_001,closed,1,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,B,1,1,,132.8095,73712.79,51313.52,57,1.11,4608.08,1,0.22,56071.56,55921.6,129634.39,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen25_3b_baseline_cpu_final_temp_05_mcq_001_run1_20250924_120548.txt
