timestamp,scenario,model_label,model_path,runtime,execution,temperature,n_predict,ctx,prompt_id,task_type,repeat,prompt,expected,reference_for_bertscore,output,exact_match,accuracy,keyword_overlap_discursive,wall_time_seconds,load_time_ms,prompt_eval_time_ms,prompt_tokens,prompt_tokens_per_second,eval_time_ms,eval_runs,generation_tokens_per_second,total_inference_latency_ms,ttft_warm_estimate_ms,ttft_cold_estimate_ms,timeout,return_code,raw_log_file
2025-09-24T13:16:00.565813,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_001,closed,1,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,6.4454,1118.24,3241.31,37,11.42,264.18,2,7.57,3509.11,3373.4,4491.64,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_arith_001_run1_20250924_131554.txt
2025-09-24T13:16:06.894605,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_001,closed,2,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,6.3271,1017.76,3248.92,37,11.39,263.61,2,7.59,3516.2,3380.725,4398.485,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_arith_001_run2_20250924_131554.txt
2025-09-24T13:16:13.155717,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_001,closed,3,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,6.2593,1070.34,3215.3,37,11.51,261.51,2,7.65,3480.42,3346.055,4416.395,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_arith_001_run3_20250924_131554.txt
2025-09-24T13:16:19.413687,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_002,closed,1,What is 14 * 6? Answer only with the number.,84,84,90,0,0,,6.2561,1035.21,3159.39,36,11.39,261.76,2,7.64,3425.39,3290.27,4325.48,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_arith_002_run1_20250924_131554.txt
2025-09-24T13:16:25.665721,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_002,closed,2,What is 14 * 6? Answer only with the number.,84,84,94,0,0,,6.2502,1113.69,3157.65,36,11.4,261.6,2,7.65,3422.94,3288.45,4402.14,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_arith_002_run2_20250924_131554.txt
2025-09-24T13:16:31.890644,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_002,closed,3,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,6.2232,1020.31,3159.56,36,11.39,260.96,2,7.66,3424.53,3290.04,4310.35,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_arith_002_run3_20250924_131554.txt
2025-09-24T13:16:38.270243,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_003,closed,1,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,6.3775,1070.74,3316.06,38,11.46,270.08,2,7.41,3590.08,3451.1,4521.84,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_arith_003_run1_20250924_131554.txt
2025-09-24T13:16:44.689003,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_003,closed,2,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,6.4167,1048.15,3338.49,38,11.38,269.03,2,7.43,3611.22,3473.005,4521.155,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_arith_003_run2_20250924_131554.txt
2025-09-24T13:16:51.028793,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,arith_003,closed,3,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,6.3378,1060.54,3309.31,38,11.48,261.13,2,7.66,3574.27,3439.875,4500.415,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_arith_003_run3_20250924_131554.txt
2025-09-24T13:16:58.985062,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,mcq_001,closed,1,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,C,0,0,,7.9541,1104.37,4966.43,57,11.48,132.72,1,7.53,5102.1,5099.15,6203.52,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_mcq_001_run1_20250924_131554.txt
2025-09-24T13:17:06.902465,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,mcq_001,closed,2,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,C,0,0,,7.9152,1086.81,4976.47,57,11.45,132.1,1,7.57,5111.97,5108.57,6195.38,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_mcq_001_run2_20250924_131554.txt
2025-09-24T13:17:14.913739,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,mcq_001,closed,3,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,B,1,1,,8.009,1123.36,4948.16,57,11.52,134.85,1,7.42,5085.88,5083.01,6206.37,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_mcq_001_run3_20250924_131554.txt
2025-09-24T13:17:22.849240,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,mcq_002,closed,1,"Choose A, B, C or D. Which planet is closest to the Sun? A) Earth B) Mars C) Mercury D) Jupiter. Answer only with the letter.",C,C,C,1,1,,7.9332,1080.56,4987.6,57,11.43,132.65,1,7.54,5123.27,5120.25,6200.81,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_mcq_002_run1_20250924_131554.txt
2025-09-24T13:17:30.912653,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,mcq_002,closed,2,"Choose A, B, C or D. Which planet is closest to the Sun? A) Earth B) Mars C) Mercury D) Jupiter. Answer only with the letter.",C,C,C,1,1,,8.0611,1129.55,4961.87,57,11.49,132.29,1,7.56,5097.16,5094.16,6223.71,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_mcq_002_run2_20250924_131554.txt
2025-09-24T13:17:38.838513,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,mcq_002,closed,3,"Choose A, B, C or D. Which planet is closest to the Sun? A) Earth B) Mars C) Mercury D) Jupiter. Answer only with the letter.",C,C,C,1,1,,7.9235,1068.02,4984.43,57,11.44,135.53,1,7.38,5122.89,5119.96,6187.98,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_mcq_002_run3_20250924_131554.txt
2025-09-24T13:17:47.876488,baseline_cpu_final_temp_05,qwen05,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-0.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,0.5,192,2048,json_001,structured,1,Extract name and age as JSON only: Marco is 21 years old.,Marco 21,"{""name"":""Marco"",""age"":21}","```json { ""name"": ""Marco"", ""age"": 21 } ```",0,1,,9.0355,1133.62,3232.4,37,11.45,2789.68,21,7.53,6043.25,3365.2419,4498.8619,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen05_baseline_cpu_final_temp_05_json_001_run1_20250924_131554.txt
