model_label,scenario,runtime,execution,temperature,group_type,group_value,runs,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,ttft_warm_mean_ms,ttft_warm_std_ms,ttft_cold_mean_ms,ttft_cold_std_ms,tgs_mean_tok_s,tgs_std_tok_s,prompt_eval_throughput_mean_tok_s,prompt_eval_throughput_std_tok_s,load_time_mean_ms,load_time_std_ms,wall_time_mean_s,wall_time_std_s,accuracy_mean,accuracy_correct,accuracy_total,exact_match_mean,exact_match_correct,exact_match_total
qwen05,baseline_cpu_final_temp_10,llama.cpp/llama-completion,CPU,1.0,global,all,45,6913.818,4638.899,3411.42,29135.4,3992.634,826.823,5074.484,820.005,7.552,0.08,11.463,0.047,1081.85,39.06,9.74,4.638,0.788,26,33,0.455,15,33
qwen05,baseline_cpu_final_temp_10,llama.cpp/llama-completion,CPU,1.0,task_type,closed,24,4495.579,789.678,3411.42,5193.31,4414.775,835.381,5494.092,822.114,7.537,0.083,11.469,0.048,1079.317,38.084,7.31,0.771,0.75,18,24,0.625,15,24
qwen05,baseline_cpu_final_temp_10,llama.cpp/llama-completion,CPU,1.0,task_type,structured,9,7943.417,2958.778,5987.12,13118.39,3792.071,639.244,4866.647,651.648,7.581,0.062,11.468,0.066,1074.576,44.217,10.762,2.973,0.889,8,9,0.0,0,9
qwen05,baseline_cpu_final_temp_10,llama.cpp/llama-completion,CPU,1.0,task_type,discursive,12,10978.096,6838.163,5873.66,29135.4,3298.776,176.829,4391.148,196.769,7.559,0.084,11.448,0.026,1092.372,38.341,13.834,6.809,,,,,,
qwen05,baseline_cpu_final_temp_10,llama.cpp/llama-completion,CPU,1.0,prompt_id,arith_001,3,3502.443,13.259,3487.24,3511.61,3365.918,14.322,4434.758,46.85,7.53,0.061,11.447,0.055,1068.84,34.216,6.317,0.049,1.0,3,3,1.0,3,3
qwen05,baseline_cpu_final_temp_10,llama.cpp/llama-completion,CPU,1.0,prompt_id,arith_002,3,3412.22,1.368,3411.42,3413.8,3276.857,0.221,4356.497,41.432,7.593,0.09,11.443,0.006,1079.64,41.535,6.201,0.101,0.333,1,3,0.333,1,3
qwen05,baseline_cpu_final_temp_10,llama.cpp/llama-completion,CPU,1.0,prompt_id,arith_003,3,3588.83,5.275,3582.83,3592.74,3452.722,6.063,4595.942,13.174,7.553,0.085,11.447,0.021,1143.22,12.16,6.513,0.012,1.0,3,3,1.0,3,3
qwen05,baseline_cpu_final_temp_10,llama.cpp/llama-completion,CPU,1.0,prompt_id,mcq_001,3,5101.177,15.557,5084.49,5115.28,5098.173,15.551,6169.203,21.77,7.567,0.015,11.48,0.036,1071.03,29.578,7.884,0.057,1.0,3,3,1.0,3,3
qwen05,baseline_cpu_final_temp_10,llama.cpp/llama-completion,CPU,1.0,prompt_id,mcq_002,3,5084.457,5.106,5079.0,5089.12,5081.497,5.108,6165.51,16.146,7.52,0.052,11.52,0.01,1084.013,11.472,7.893,0.05,1.0,3,3,1.0,3,3
qwen05,baseline_cpu_final_temp_10,llama.cpp/llama-completion,CPU,1.0,prompt_id,json_001,3,6019.183,28.09,5987.12,6039.46,3374.197,23.052,4461.397,73.013,7.623,0.046,11.407,0.08,1087.2,72.369,8.885,0.17,1.0,3,3,0.0,0,3
