timestamp,scenario,model_label,model_path,runtime,execution,temperature,n_predict,ctx,prompt_id,task_type,repeat,prompt,expected,reference_for_bertscore,output,exact_match,accuracy,keyword_overlap_discursive,wall_time_seconds,load_time_ms,prompt_eval_time_ms,prompt_tokens,prompt_tokens_per_second,eval_time_ms,eval_runs,generation_tokens_per_second,total_inference_latency_ms,ttft_warm_estimate_ms,ttft_cold_estimate_ms,timeout,return_code,raw_log_file
2025-09-24T12:29:27.883316,baseline_cpu_final_temp_10,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,1.0,192,2048,arith_001,closed,1,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,13.0755,1500.1,9179.92,37,4.03,683.14,2,2.93,9866.68,9521.49,11021.59,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_10_arith_001_run1_20250924_122914.txt
2025-09-24T12:29:41.162352,baseline_cpu_final_temp_10,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,1.0,192,2048,arith_001,closed,2,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,13.2763,1586.91,9174.13,37,4.03,683.05,2,2.93,9860.87,9515.655,11102.565,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_10_arith_001_run2_20250924_122914.txt
2025-09-24T12:29:54.285806,baseline_cpu_final_temp_10,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,1.0,192,2048,arith_001,closed,3,What is 27 + 35? Answer only with the number.,62,62,62,1,1,,13.1208,1523.22,9170.91,37,4.03,680.88,2,2.94,9855.61,9511.35,11034.57,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_10_arith_001_run3_20250924_122914.txt
2025-09-24T12:30:07.148635,baseline_cpu_final_temp_10,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,1.0,192,2048,arith_002,closed,1,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,12.8601,1510.98,8941.48,36,4.03,690.39,2,2.9,9635.49,9286.675,10797.655,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_10_arith_002_run1_20250924_122914.txt
2025-09-24T12:30:20.078627,baseline_cpu_final_temp_10,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,1.0,192,2048,arith_002,closed,2,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,12.9273,1527.77,8951.44,36,4.02,677.67,2,2.95,9632.72,9290.275,10818.045,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_10_arith_002_run2_20250924_122914.txt
2025-09-24T12:30:32.998045,baseline_cpu_final_temp_10,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,1.0,192,2048,arith_002,closed,3,What is 14 * 6? Answer only with the number.,84,84,84,1,1,,12.9166,1540.59,8943.96,36,4.03,683.94,2,2.92,9631.56,9285.93,10826.52,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_10_arith_002_run3_20250924_122914.txt
2025-09-24T12:30:46.585785,baseline_cpu_final_temp_10,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,1.0,192,2048,arith_003,closed,1,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,13.5849,1610.55,9425.82,38,4.03,683.64,2,2.93,10113.12,9767.64,11378.19,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_10_arith_003_run1_20250924_122914.txt
2025-09-24T12:31:00.134525,baseline_cpu_final_temp_10,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,1.0,192,2048,arith_003,closed,2,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,13.5459,1579.71,9434.31,38,4.03,688.89,2,2.9,10126.84,9778.755,11358.465,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_10_arith_003_run2_20250924_122914.txt
2025-09-24T12:31:13.601638,baseline_cpu_final_temp_10,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,1.0,192,2048,arith_003,closed,3,What is 125 - 58? Answer only with the number.,67,67,67,1,1,,13.4641,1560.62,9429.01,38,4.03,681.06,2,2.94,10113.72,9769.54,11330.16,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_10_arith_003_run3_20250924_122914.txt
2025-09-24T12:31:31.327738,baseline_cpu_final_temp_10,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,1.0,192,2048,mcq_001,closed,1,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,B,1,1,,17.723,1523.69,14116.55,57,4.04,341.82,1,2.93,14461.38,14458.37,15982.06,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_10_mcq_001_run1_20250924_122914.txt
2025-09-24T12:31:49.157052,baseline_cpu_final_temp_10,qwen15,/mnt/i1data/i1-edge-ai-slm/models/qwen2.5-1.5b-instruct-q4_k_m.gguf,llama.cpp/llama-completion,CPU,1.0,192,2048,mcq_001,closed,2,"Choose A, B, C or D. Which one is a mammal? A) Shark B) Dolphin C) Eagle D) Lizard. Answer only with the letter.",B,B,B,1,1,,17.8261,1570.01,14119.69,57,4.04,343.09,1,2.91,14465.67,14462.78,16032.79,0,0,/mnt/i1data/i1-edge-ai-slm/logs/qwen_benchmark_final_raw/qwen15_baseline_cpu_final_temp_10_mcq_001_run2_20250924_122914.txt
